,Name,League,Age,Height(cm),Weight(kg),OVR,Potential,Value,Wage,Minutes Played,Appearances,Saves,Saves Inside the Box,Penalties Save,Clean Sheets,League Rating,International Reputation,Acceleration,Sprint Speed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Aggression,Interceptions,Vision,Penalties,Composure,Diving,Handling,Kicking,Positioning,Reflexes,Link
13,Samir Handanovic,Serie A,36,193,92,85,85,6000000.0,72000.0,3242,37,78,54,1,14,6.0,3,45,50,47,79,36,78,41,69,25,22,41,23,69,81,81,65,90,86,https://sofifa.com/player/162835/samir-handanovic/220039/
14,Peter Gulacsi,Bundesliga,31,191,86,85,85,28500000.0,87000.0,2970,33,51,33,0,15,6.0,3,42,44,41,81,42,67,37,74,34,23,44,24,45,85,84,76,83,85,https://sofifa.com/player/185122/peter-gulacsi/220039/
15,Koen Casteels,Bundesliga,29,197,86,85,86,41500000.0,81000.0,2880,32,76,50,2,14,6.0,3,44,46,50,81,43,58,44,72,33,16,42,20,40,84,82,79,84,86,https://sofifa.com/player/192984/koen-casteels/220039/
16,Yann Sommer,Bundesliga,32,183,79,85,85,26500000.0,40000.0,2713,31,83,56,0,6,6.0,3,48,54,55,82,58,73,45,68,38,21,64,24,57,79,81,82,86,86,https://sofifa.com/player/177683/yann-sommer/220039/
17,Emiliano Martinez,Premier League,28,195,88,84,85,33500000.0,81000.0,3420,38,142,81,1,15,7.0,3,59,57,49,80,49,60,40,70,37,13,66,42,60,85,83,82,83,85,https://sofifa.com/player/202811/emiliano-martinez/220039/
18,Kasper Schmeichel,Premier League,34,189,89,84,84,7000000.0,105000.0,3420,38,88,69,0,11,6.0,2,45,50,61,82,47,60,34,64,35,20,59,26,67,82,78,80,81,88,https://sofifa.com/player/163587/kasper-schmeichel/220039/
19,Kevin Trapp,Bundesliga,30,189,84,84,84,28000000.0,37000.0,2970,33,101,64,1,4,6.0,3,43,50,42,83,37,76,45,75,30,22,46,17,64,83,80,79,84,86,https://sofifa.com/player/188943/kevin-trapp/220039/
20,Oliver Baumann,Bundesliga,31,187,82,83,83,19000000.0,40000.0,2790,31,87,60,2,6,6.0,2,47,51,45,82,43,73,39,69,32,21,41,22,52,83,82,79,79,84,https://sofifa.com/player/193698/oliver-baumann/220039/
21,Lukas Hradecky,Bundesliga,31,192,83,83,83,19000000.0,55000.0,2566,29,56,39,1,8,6.0,3,38,44,43,82,39,69,34,55,31,18,53,20,48,84,78,69,83,87,https://sofifa.com/player/190941/lukas-hradecky/220039/
22,Anthony Lopes,Ligue 1,30,184,81,82,82,20500000.0,60000.0,3420,38,95,58,1,11,6.0,2,63,64,67,82,62,82,36,73,45,25,48,16,65,84,78,71,80,86,https://sofifa.com/player/199482/anthony-lopes/220039/
23,Unai Simon Mendibil,La Liga,24,190,89,82,85,32500000.0,24000.0,3330,37,70,45,1,9,6.0,3,47,50,35,75,47,65,44,76,28,26,46,24,44,82,78,77,85,85,https://sofifa.com/player/230869/unai-simon-mendibil/220039/
24,Raphael William Anjos Rochedo,La Liga,33,190,85,82,82,10000000.0,20000.0,3330,37,70,45,1,9,6.0,1,41,42,34,82,41,67,29,79,34,23,51,14,67,79,84,77,83,78,https://sofifa.com/player/230168/raphael-william-anjos-rochedo/220039/
25,Rui Pedro Dos Santos Patricio,Premier League,33,190,84,82,82,10000000.0,51000.0,3330,37,100,68,1,10,6.0,3,53,57,61,76,54,79,45,77,37,23,64,32,66,82,80,77,80,83,https://sofifa.com/player/178005/rui-pedro-dos-santos-patricio/220039/
26,Lukasz Fabianski,Premier League,36,190,83,82,82,3400000.0,43000.0,3150,35,103,56,1,10,6.0,2,50,47,53,75,44,69,25,65,43,16,52,22,63,82,82,71,83,82,https://sofifa.com/player/164835/lukasz-fabianski/220039/
27,Gregor Kobel,Bundesliga,23,195,88,82,87,37000000.0,44000.0,2970,33,106,74,2,5,6.0,1,34,36,37,80,24,60,30,81,24,14,59,12,66,83,80,74,79,86,https://sofifa.com/player/235073/gregor-kobel/220039/
28,Yassine Bounou,La Liga,30,192,78,82,82,20500000.0,29000.0,2970,33,81,45,2,15,7.0,1,37,34,47,80,29,48,43,69,25,12,60,24,57,82,79,76,81,84,https://sofifa.com/player/209981/yassine-bounou/220039/
29,Nick Pope,Premier League,29,199,76,82,82,21000000.0,41000.0,2880,32,114,73,0,11,7.0,1,50,47,36,78,42,72,37,75,36,21,45,22,63,80,83,74,82,84,https://sofifa.com/player/203841/nick-pope/220039/
30,Jordan Pickford,Premier League,27,185,77,82,84,28000000.0,76000.0,2743,31,90,57,0,10,6.0,3,53,44,55,78,55,77,45,70,45,24,69,45,65,83,77,87,79,86,https://sofifa.com/player/204935/jordan-pickford/220039/
31,Andre Onana,Eredivisie,25,190,93,82,85,31000000.0,17000.0,1800,20,60,33,0,9,7.0,3,62,60,66,81,53,77,38,79,32,15,64,27,64,81,80,86,81,83,https://sofifa.com/player/226753/andre-onana/220039/
32,Norberto Murara Neto,La Liga,31,190,84,81,81,13500000.0,105000.0,630,7,18,13,0,3,7.0,2,56,52,59,77,49,83,40,61,40,15,42,22,64,82,78,77,78,80,https://sofifa.com/player/194404/norberto-murara-neto/220039/
33,Alejandro Remiro Gargallo,La Liga,26,191,83,81,84,26000000.0,31000.0,3420,38,68,41,1,14,6.0,1,40,46,69,74,40,66,42,73,34,20,35,24,55,83,73,79,83,82,https://sofifa.com/player/227127/alejandro-remiro-gargallo/220039/
34,Alphonse Areola,Premier League,28,195,94,81,83,22000000.0,69000.0,3240,36,116,81,0,9,6.0,2,56,54,58,75,58,72,38,80,26,23,51,25,64,85,79,75,78,84,https://sofifa.com/player/193105/alphonse-areola/220039/
35,Sergio Asenjo Andres,La Liga,32,189,87,81,81,13000000.0,31000.0,3240,36,80,55,1,10,6.0,2,59,54,62,81,58,73,39,73,20,22,46,15,64,81,80,79,78,79,https://sofifa.com/player/178750/sergio-asenjo-andres/220039/
36,Juan Musso,Serie A,27,191,93,81,82,22000000.0,44000.0,3148,35,98,52,0,8,6.0,1,46,42,32,71,39,51,35,70,27,18,48,25,67,82,78,73,82,86,https://sofifa.com/player/214979/juan-musso/220039/
37,Bernd Leno,Premier League,29,190,83,81,82,20000000.0,74000.0,3132,35,86,52,1,11,6.0,3,55,56,52,77,44,73,43,70,28,25,56,23,62,82,78,75,80,83,https://sofifa.com/player/192563/bernd-leno/220039/
38,Alessio Cragno,Serie A,27,184,78,81,82,22000000.0,32000.0,3060,34,130,88,0,6,7.0,1,41,37,37,75,43,74,43,55,33,19,42,31,59,82,80,73,80,84,https://sofifa.com/player/205659/alessio-cragno/220039/
39,Rui Tiago Dantas Da Silva,La Liga,27,191,91,81,84,25500000.0,24000.0,2880,32,83,49,4,8,6.0,1,31,30,34,71,24,62,27,66,19,27,50,30,49,82,76,75,83,84,https://sofifa.com/player/210385/rui-tiago-dantas-da-silva/220039/
40,Antonio Adan Garrido,Primeira Liga,34,190,94,81,81,4400000.0,14000.0,2880,32,57,37,1,19,7.0,2,56,54,55,76,51,71,32,77,41,20,42,25,63,79,82,78,83,80,https://sofifa.com/player/178086/antonio-adan-garrido/220039/
41,Salvatore Sirigu,Serie A,34,192,85,81,81,4400000.0,19000.0,2880,32,73,52,0,7,6.0,3,46,46,52,77,55,68,34,66,34,20,55,19,62,80,77,75,84,79,https://sofifa.com/player/168435/salvatore-sirigu/220039/
42,David Soria Solis,La Liga,28,192,85,81,82,20500000.0,30000.0,2520,28,54,31,1,10,6.0,1,49,34,49,80,42,61,43,75,24,18,45,23,58,81,80,72,80,82,https://sofifa.com/player/223952/david-soria-solis/220039/
43,Aaron Ramsdale,Premier League,23,191,77,81,86,31000000.0,58000.0,2070,23,70,37,0,12,7.0,1,47,50,53,80,49,66,35,59,35,24,64,25,65,82,77,84,78,84,https://sofifa.com/player/233934/aaron-ramsdale/220039/
44,Geronimo Rulli,La Liga,29,189,84,81,81,17500000.0,33000.0,180,2,4,3,0,0,6.0,3,56,52,58,76,50,65,42,73,26,21,62,24,61,81,79,80,79,82,https://sofifa.com/player/215316/geronimo-rulli/220039/
45,Odisseas Vlachodimos,Primeira Liga,27,191,78,81,83,23500000.0,14000.0,1620,18,52,36,1,7,7.0,1,42,44,67,82,38,74,39,68,32,23,46,18,56,84,78,67,78,84,https://sofifa.com/player/211990/odisseas-vlachodimos/220039/
46,Jasper Cillessen,La Liga,32,185,83,80,80,10500000.0,31000.0,900,10,34,24,1,3,7.0,3,56,50,48,80,50,71,40,67,25,25,60,21,61,80,79,78,80,78,https://sofifa.com/player/199987/jasper-cillessen/220039/
47,Esteban Andrada,Superliga,30,194,80,80,80,14000000.0,43000.0,810,9,27,10,0,1,6.0,1,47,46,34,76,43,57,45,62,24,25,53,19,44,76,78,80,80,82,https://sofifa.com/player/205849/esteban-andrada/220039/
48,Gianluigi Buffon,Serie A,43,192,92,80,80,2300000.0,3000.0,720,8,16,10,1,3,7.0,4,37,30,55,78,49,69,34,65,38,28,50,22,70,76,73,70,90,76,https://sofifa.com/player/1179/gianluigi-buffon/220039/
49,Kepa Arrizabalaga,Premier League,26,186,88,80,83,21000000.0,80000.0,584,7,16,9,0,2,6.0,2,34,33,41,70,39,71,37,51,18,21,57,24,63,79,78,85,77,82,https://sofifa.com/player/206585/kepa-arrizabalaga/220039/
50,Tomas Vaclik,La Liga,32,188,85,80,80,10500000.0,1000.0,450,5,9,6,0,2,6.0,1,42,37,43,78,56,73,38,73,29,23,68,13,60,80,75,74,80,83,https://sofifa.com/player/204120/tomas-vaclik/220039/
51,Ugurcan Cakir,Super Lig,25,191,82,80,85,24500000.0,24000.0,3420,38,120,66,1,13,7.0,1,53,56,49,78,58,81,40,67,27,25,42,23,60,80,76,73,81,82,https://sofifa.com/player/226300/ugurcan-cakir/220039/
52,Walter Benitez,Ligue 1,28,191,93,80,82,18000000.0,32000.0,3420,38,125,65,0,9,6.0,2,48,48,47,75,45,62,40,80,28,21,46,25,62,80,79,72,80,83,https://sofifa.com/player/215223/walter-benitez/220039/
53,Simon Mignolet,Pro League,33,193,87,80,80,7000000.0,24000.0,3420,38,24,13,0,15,6.0,3,50,52,34,74,52,69,31,72,34,21,43,41,61,80,74,78,83,82,https://sofifa.com/player/173426/simon-mignolet/220039/
54,Fernando Pacheco Flores,La Liga,29,186,81,80,82,17500000.0,25000.0,3348,38,85,59,0,9,6.0,1,48,42,62,77,53,73,43,75,29,26,53,23,62,79,77,70,81,82,https://sofifa.com/player/209960/fernando-pacheco-flores/220039/
55,Andrea Consigli,Serie A,34,189,82,80,80,3600000.0,30000.0,3330,37,131,81,1,7,7.0,2,48,34,57,75,40,80,31,51,11,15,46,21,63,80,81,71,78,81,https://sofifa.com/player/163489/andrea-consigli/220039/
56,Marko Dmitrovic,La Liga,29,194,94,80,81,16000000.0,26000.0,3121,35,81,52,1,9,6.0,1,39,35,32,76,37,50,45,79,20,17,45,58,59,77,79,78,80,81,https://sofifa.com/player/227290/marko-dmitrovic/220039/
57,Franco Armani,Superliga,34,189,88,80,80,3600000.0,17000.0,3060,34,70,48,0,15,6.0,1,41,45,37,77,39,65,35,81,43,21,54,20,53,78,75,68,80,86,https://sofifa.com/player/214584/franco-armani/220039/
58,Agustin Marchesin,Primeira Liga,33,188,84,80,80,7000000.0,13000.0,2970,33,60,44,1,16,6.0,1,55,52,65,77,60,73,38,59,45,15,65,14,64,81,77,76,80,81,https://sofifa.com/player/201095/agustin-marchesin/220039/
59,Dominik Livakovic,1. HNL,26,187,79,80,83,21000000.0,950.0,2956,33,35,22,0,16,7.0,2,57,54,65,77,30,61,32,75,26,21,60,15,64,80,76,71,77,84,https://sofifa.com/player/241671/dominik-livakovic/220039/
60,Mattia Perin,Serie A,28,188,77,80,81,16500000.0,64000.0,2880,32,120,70,0,8,7.0,2,57,56,70,77,30,75,30,52,25,19,44,21,65,80,80,71,79,82,https://sofifa.com/player/198009/mattia-perin/220039/
61,Guillermo Ochoa,Liga MX,35,185,78,80,80,2300000.0,27000.0,2880,32,79,53,0,8,6.0,1,50,50,57,70,43,79,38,60,19,23,50,16,60,80,74,70,80,83,https://sofifa.com/player/140233/guillermo-ochoa/220039/
62,Jose Pedro Malheiro De Sa,Super League,28,192,84,80,82,18000000.0,69000.0,2610,29,0,0,0,15,,1,50,53,62,77,40,70,34,73,35,18,47,11,42,82,77,71,78,83,https://sofifa.com/player/212442/jose-pedro-malheiro-de-sa/220039/
63,Aitor Fernandez,La Liga,30,182,78,80,80,14000000.0,26000.0,2610,29,78,51,0,3,6.0,1,58,53,70,80,48,74,42,48,15,24,48,24,55,80,76,66,79,83,https://sofifa.com/player/193314/aitor-fernandez/220039/
64,Igor Akinfeev,Premier League,35,186,78,80,80,2300000.0,26000.0,2520,28,95,53,2,7,7.0,3,51,50,53,71,45,62,35,72,24,17,59,10,62,77,74,78,83,84,https://sofifa.com/player/148119/igor-akinfeev/220039/
65,Pierluigi Gollini,Serie A,26,194,94,80,84,22500000.0,41000.0,2159,25,40,28,2,9,6.0,2,46,48,56,73,52,52,40,68,19,18,30,21,63,81,80,76,79,82,https://sofifa.com/player/211515/pierluigi-gollini/220039/
66,Fernando Muslera,Super Lig,35,190,74,80,80,2300000.0,32000.0,1980,22,55,39,1,9,6.0,3,50,52,64,78,62,84,40,68,32,23,62,24,60,78,80,72,82,79,https://sofifa.com/player/182494/fernando-muslera/220039/
67,Pau Lopez Sabata,Serie A,26,189,77,80,83,21000000.0,35000.0,1816,21,59,47,0,4,6.0,1,45,52,40,66,57,71,42,52,39,16,68,25,62,80,79,77,81,82,https://sofifa.com/player/221087/pau-lopez-sabata/220039/
68,Martin Dubravka,Premier League,32,190,80,80,80,10500000.0,37000.0,1170,13,45,30,0,3,7.0,2,48,44,47,73,60,74,38,60,28,25,55,20,59,79,78,80,78,80,https://sofifa.com/player/220407/martin-dubravka/220039/
69,Dean Henderson,Premier League,24,188,85,80,85,25500000.0,70000.0,0,0,0,0,0,0,,2,51,48,61,79,56,63,34,60,20,11,52,16,60,80,79,78,76,83,https://sofifa.com/player/233306/dean-henderson/220039/
70,Heniton Enaldo Pires Tramontino,Premier League,25,182,74,80,80,17000000.0,33000.0,0,0,0,0,0,0,,1,43,39,42,77,48,70,30,64,36,22,70,21,41,81,75,78,81,79,https://sofifa.com/player/230204/heniton-enaldo-pires-tramontino/220039/
71,Nahuel Guzman,Liga MX,35,193,94,79,79,1900000.0,26000.0,90,1,8,5,0,13,9.0,1,48,50,62,78,54,70,40,84,45,29,60,12,60,78,77,71,82,79,https://sofifa.com/player/176919/nahuel-guzman/220039/
72,Sergio Romero,Premier League 2 Divison Two,34,192,86,79,79,3000000.0,20000.0,90,1,0,0,0,1,,3,47,44,55,76,44,63,31,74,33,21,56,16,62,78,75,79,78,83,https://sofifa.com/player/173373/sergio-romero/220039/
73,Thomas Strakosha,Serie A,26,193,78,79,82,17500000.0,46000.0,810,9,24,16,0,3,6.0,1,41,46,45,78,47,56,23,66,20,24,49,21,61,80,77,74,77,80,https://sofifa.com/player/212151/thomas-strakosha/220039/
74,Gabriel Arias,Superliga,33,188,82,79,79,5500000.0,18000.0,522,6,18,15,0,0,6.0,1,40,42,41,73,57,64,32,65,33,13,50,26,45,79,73,73,80,83,https://sofifa.com/player/223249/gabriel-arias/220039/
75,Diego Lopez Rodriguez,La Liga 2,39,196,89,79,79,1900000.0,11000.0,3600,40,79,43,0,20,6.0,3,44,43,44,75,40,66,40,73,40,16,55,21,65,75,80,68,80,76,https://sofifa.com/player/146748/diego-lopez-rodriguez/220039/
76,Vicente Guaita Panadero,Premier League,34,190,80,79,79,3000000.0,45000.0,3330,37,107,73,1,8,6.0,2,51,52,63,74,48,68,41,62,24,27,52,29,62,80,77,77,77,81,https://sofifa.com/player/189690/vicente-guaita-panadero/220039/
77,Steve Mandanda,Ligue 1,36,185,82,79,79,1900000.0,21000.0,3330,37,84,46,0,8,6.0,3,53,43,52,80,36,69,31,61,37,23,55,11,62,77,79,74,77,81,https://sofifa.com/player/163705/steve-mandanda/220039/
78,Stefan Ortega,Bundesliga,28,185,88,79,80,14000000.0,24000.0,3060,34,120,86,1,11,7.0,1,51,53,42,80,54,77,33,73,29,27,66,24,59,75,73,86,75,85,https://sofifa.com/player/200159/stefan-ortega/220039/
79,Marco Silvestri,Serie A,30,191,80,79,79,11500000.0,16000.0,3060,34,93,56,0,7,6.0,1,58,61,65,70,34,74,34,60,31,11,49,16,44,82,77,63,80,82,https://sofifa.com/player/190745/marco-silvestri/220039/
80,Sergio Herrera Piron,La Liga,28,192,82,79,81,15000000.0,26000.0,2957,33,89,55,1,10,7.0,1,45,49,45,76,45,56,42,67,25,12,33,32,53,80,78,74,76,78,https://sofifa.com/player/224003/sergio-herrera-piron/220039/
81,Matheus Lima Magalhaes,Primeira Liga,28,190,84,79,81,15000000.0,15000.0,2880,32,64,39,1,9,6.0,1,44,47,45,75,48,63,32,71,19,26,52,13,46,82,75,73,77,83,https://sofifa.com/player/208104/matheus-lima-magalhaes/220039/
82,Edgar Badia Guardiola,La Liga,29,180,70,79,80,13500000.0,20000.0,2700,30,95,61,3,5,6.0,1,45,43,53,75,41,57,35,55,42,22,45,30,56,77,76,76,77,82,https://sofifa.com/player/204234/edgar-badia-guardiola/220039/
83,Mark Flekken,Bundesliga,28,195,87,79,80,14000000.0,26000.0,270,3,12,6,0,0,6.0,1,28,36,34,77,38,54,28,72,32,12,35,23,24,79,75,80,78,81,https://sofifa.com/player/211738/mark-flekken/220039/
84,Benjamin Lecomte,Ligue 1,30,186,78,79,80,13000000.0,41000.0,2520,28,43,27,0,13,6.0,2,44,40,36,76,30,62,34,67,23,24,41,20,63,79,77,77,79,80,https://sofifa.com/player/200726/benjamin-lecomte/220039/
85,Alban Lafont,Ligue 1 Play-offs,22,196,90,79,85,23000000.0,20000.0,180,2,5,4,0,0,6.0,2,48,45,60,69,53,73,40,70,20,17,52,16,61,82,76,69,75,85,https://sofifa.com/player/231691/alban-lafont/220039/
86,Bernard Gabriel Prestao Chaves,Ligue 1 Play-offs,29,186,80,79,79,12000000.0,26000.0,180,2,5,4,0,0,6.0,1,58,62,66,76,43,60,23,60,35,12,60,15,64,81,75,71,77,82,https://sofifa.com/player/230312/bernard-gabriel-prestao-chaves/220039/
87,Roman Burki,Bundesliga,30,187,85,79,79,11500000.0,43000.0,1664,19,62,38,0,4,6.0,3,44,50,49,77,52,74,36,76,35,18,50,20,58,80,78,60,77,84,https://sofifa.com/player/189117/roman-burki/220039/
88,Justin Bijlow,Eredivisie,23,188,76,79,86,30000000.0,9000.0,1440,16,57,35,0,6,7.0,1,58,58,56,77,32,67,30,70,22,10,58,16,54,82,75,77,76,80,https://sofifa.com/player/232229/justin-bijlow/220039/
89,Zack Steffen,Premier League,26,191,86,78,83,16000000.0,78000.0,90,1,1,1,0,0,6.0,1,54,52,58,72,49,71,39,69,31,19,58,37,56,79,74,75,73,83,https://sofifa.com/player/234777/zack-steffen/220039/
90,Matias Dituro,Primera Division,34,191,86,78,78,2400000.0,19000.0,630,7,0,0,0,3,,1,32,48,40,76,32,56,42,72,20,21,65,20,68,74,76,76,78,81,https://sofifa.com/player/207935/matias-dituro/220039/
91,Matz Sels,Ligue 1,29,190,88,78,79,11000000.0,21000.0,540,6,13,6,0,0,6.0,2,37,35,36,74,34,70,26,67,29,17,49,22,62,76,77,75,78,77,https://sofifa.com/player/199641/matz-sels/220039/
92,Sebastian Sosa,Superliga,34,179,79,78,78,2400000.0,13000.0,3420,38,99,51,1,15,6.0,1,55,42,65,78,50,65,38,75,45,22,25,22,63,77,70,71,81,80,https://sofifa.com/player/205409/sebastian-sosa/220039/
93,Benoit Costil,Ligue 1,33,187,82,78,78,4600000.0,21000.0,3420,38,103,65,1,14,6.0,2,47,51,38,76,45,49,28,65,22,22,48,15,58,77,76,76,77,80,https://sofifa.com/player/158121/benoit-costil/220039/
94,Emil Audero,Serie A,24,192,83,78,79,13000000.0,14000.0,3330,37,122,82,2,6,6.0,1,55,49,53,75,51,65,25,55,24,11,30,22,56,80,73,73,76,82,https://sofifa.com/player/228413/emil-audero/220039/
95,Predrag Rajkovic,Ligue 1,25,191,85,78,83,16500000.0,20000.0,3286,37,114,66,2,10,6.0,2,30,18,32,73,29,35,26,66,25,10,42,20,32,77,76,74,79,81,https://sofifa.com/player/241727/predrag-rajkovic/220039/
96,Camilo Vargas,Liga MX,32,187,82,78,78,7000000.0,12000.0,3150,35,75,37,1,14,6.0,1,44,48,57,75,45,77,45,67,22,23,50,46,32,76,74,75,78,77,https://sofifa.com/player/212067/camilo-vargas/220039/
97,Jiri Pavlenka,Bundesliga,29,196,81,78,80,11500000.0,12000.0,3060,34,106,71,2,6,6.0,2,35,37,39,79,27,36,20,68,22,13,25,18,39,81,74,60,69,84,https://sofifa.com/player/236583/jiri-pavlenka/220039/
98,Rafal Gikiewicz,Bundesliga,33,190,81,78,78,4600000.0,21000.0,3060,34,129,91,1,7,7.0,2,27,29,38,78,40,66,20,68,22,12,48,19,31,79,73,64,77,82,https://sofifa.com/player/194333/rafal-gikiewicz/220039/
99,Jeremias Conan Ledesma,La Liga,28,186,83,78,80,12000000.0,25000.0,2880,32,83,46,1,9,6.0,1,49,42,40,72,50,67,40,63,23,20,36,23,41,81,76,67,74,81,https://sofifa.com/player/219522/jeremias-conan-ledesma/220039/
100,Alfredo Talavera,Liga MX,38,186,85,78,78,1600000.0,8000.0,2742,31,101,69,2,12,7.0,1,58,58,57,70,47,82,36,75,38,24,50,44,60,80,80,70,75,80,https://sofifa.com/player/156433/alfredo-talavera/220039/
101,Jose Manuel Reina Paez,Serie A,38,188,92,78,78,1600000.0,27000.0,2610,29,76,45,0,9,6.0,3,43,49,50,74,60,71,34,70,32,22,65,24,64,77,78,79,79,77,https://sofifa.com/player/24630/jose-manuel-reina-paez/220039/
102,Florin Nita,Fortuna Liga,33,184,78,78,78,4600000.0,1000.0,2340,26,0,0,0,9,,1,25,31,28,68,64,61,36,79,20,8,39,11,62,78,76,69,79,82,https://sofifa.com/player/238033/florin-nita/220039/
103,Luis Manuel Arantes Maximiano,La Liga,22,190,82,78,85,24500000.0,16000.0,2237,25,91,63,1,4,6.0,1,55,55,58,78,33,63,23,68,12,9,55,13,56,78,76,68,76,80,https://sofifa.com/player/244316/luis-manuel-arantes-maximiano/220039/
104,Ben Foster,Championship,38,193,90,78,78,1600000.0,27000.0,2070,23,47,29,1,10,6.0,2,47,44,45,74,50,73,32,57,15,23,41,41,63,78,77,73,78,78,https://sofifa.com/player/163155/ben-foster/220039/
105,Jonas Omlin,Ligue 1,27,189,80,78,80,13000000.0,21000.0,2049,23,89,43,0,7,7.0,1,52,51,32,74,51,75,35,72,22,25,48,27,55,78,75,73,76,80,https://sofifa.com/player/223550/jonas-omlin/220039/
106,Alex Meret,Serie A,24,190,83,78,84,18000000.0,36000.0,1980,22,53,41,0,6,6.0,2,41,48,37,74,48,68,29,65,22,22,21,21,67,79,73,70,77,81,https://sofifa.com/player/225116/alex-meret/220039/
107,Claudio Bravo,La Liga,38,184,80,78,78,1600000.0,13000.0,1800,20,52,39,1,7,7.0,3,58,54,63,72,62,81,39,69,40,23,69,23,64,77,78,84,78,78,https://sofifa.com/player/174543/claudio-bravo/220039/
108,David Ospina,Serie A,32,183,80,78,78,7000000.0,44000.0,1440,16,30,19,0,8,7.0,2,34,34,44,73,50,75,29,38,20,25,50,26,57,81,72,77,77,82,https://sofifa.com/player/176550/david-ospina/220039/
109,Marwin Hitz,Bundesliga,33,194,89,78,78,4600000.0,39000.0,1396,16,29,16,0,7,6.0,2,40,46,41,73,31,67,38,78,25,23,25,22,44,81,73,79,77,79,https://sofifa.com/player/190243/marwin-hitz/220039/
110,Sergio Rochet,Primera Division,28,190,82,78,80,12000000.0,1000.0,1294,15,0,0,0,6,,1,49,48,30,68,48,62,39,70,18,24,32,24,37,80,78,66,78,81,https://sofifa.com/player/223690/sergio-rochet/220039/
111,Mathew Ryan,Premier League,29,184,82,77,79,8500000.0,25000.0,990,11,16,7,0,3,6.0,1,53,52,53,71,50,78,34,65,36,23,68,25,64,77,75,82,76,79,https://sofifa.com/player/199005/mathew-ryan/220039/
